feature,importance
delta_from_minimum_refund_n,3.695654653610203
family_none,3.210952473151153
own_n,2.9174688510604825
delta_from_minimum_n,2.3859622607988835
own_recentcore_active_n_1.5,2.3418862253823747
maximum_refund_age,1.9869518686335605
own_refund_n60,1.683940147977068
own_core_last_due7,1.61180492101495
rank_refund_n,1.59541975548077
own_core_last_due90,1.4265201256975057
own_recentcore_last_due30,1.387871279722432
delta_from_minimum_refund_n60,1.334080635960647
own_recentcore_last_due90,1.2257986082276304
own_text_confidence,1.15292678744041
own_refund_n,1.1231951736024888
own_core_last_due365,1.0935678094200232
own_core_active_n_2.0,0.9929643709700585
own_last_due14,0.9606500849036959
own_refund_age,0.905597553023948
own_core_last_due14,0.9035461232518142
global_generic_fraction,0.8586527466060672
own_core_active_n_1.5,0.857116246276265
own_core_n45,0.8434523907142932
own_core_last_due60,0.7996437995672537
maximum_generic_fraction,0.7798620110213166
own_core_active_n_1.2,0.7468173482852669
family_streaming,0.7417746716725306
rank_refund_n60,0.7378066182214208
own_recentcore_phase_strength365,0.7069933140992405
own_amount_delta,0.6736457731422398
own_phase_strength365,0.6583950257145955
own_recentcore_phase_strength90,0.6138873687351959
own_recentcore_last_due14,0.5992480131214181
own_recentcore_amount_range,0.5531572763814896
minimum2_refund_age,0.5326789325982856
own_n45,0.5323768338972131
own_specific_fraction,0.5217695056969877
own_recentcore_linear_error3,0.4969949230171312
own_recentcore_n60,0.4648344393216863
own_recentcore_first_age,0.4640901561238222
own_recentcore_phase_due365,0.42363508214801904
own_recentcore_last_due60,0.41847110074866456
own_first_age,0.37021509055604096
own_recentcore_age,0.3624987259824512
own_active_n_1.2,0.33521568824989534
own_span,0.3282063003105343
own_gap_error7,0.3272461650781937
own_core_phase_strength365,0.3203505505763669
minimum3_generic_fraction,0.3175674865921775
own_recentcore_last_due7,0.3120899349068692
own_last_due90,0.3099824153495749
own_recentcore_n45,0.3039417752351638
own_core_cadence_missing,0.3019610449468557
own_core_span,0.2992292966209066
rank_core_cadence_active_due,0.2949529077011794
own_recentcore_amount_mad,0.2923332863969774
own_recentcore_phase_due90,0.26687462331914147
delta_from_minimum_mcc_4814,0.2655332575897291
own_amount_range,0.25900291920058666
own_core_first_age,0.25434745215941346
maximum_refund_n,0.251367273247106
delta_from_minimum_mcc_6300,0.24869655154701542
own_recentcore_amount_mean,0.24841050172999235
own_core_last_due30,0.2478830712567773
delta_from_minimum_active_n_2.0,0.24513551610206974
own_recentcore_active_n_1.2,0.24308944667869467
own_active_n_1.5,0.22536165229015429
own_core_age4,0.21844490669937486
maximum_recentcore_amount_cv,0.21833155300788304
own_recentcore_amount_cv,0.2176937311231747
own_recentcore_age1,0.2159905166568121
delta_from_minimum_recentcore_cadence_active_due,0.2106256620389755
own_age4,0.20789238818061664
rank_recentcore_n15,0.20672025224229235
own_recentcore_span,0.2056424171558372
delta_from_minimum_core_first_age,0.2044821664171749
own_last_due30,0.1993111277950831
minimum1_recentcore_first_age,0.1935410063685751
maximum_gap_error60,0.18304350979760803
own_amount_cv,0.18289346822484856
delta_from_minimum_recentcore_gap1,0.17636957694777616
delta_from_minimum_recentcore_linear_error3,0.17565217065790933
own_recentcore_phase_strength7,0.17251472391370137
delta_from_minimum_vague_fraction,0.17247664313070055
global_vague_fraction,0.1720882678920245
delta_from_minimum_recentcore_gap4,0.1699003845811803
delta_from_minimum_recentcore_age2,0.16915700072862824
own_recentcore_amount_med,0.1673891240232956
delta_from_minimum_recentcore_due_gap_mean,0.16517697862009126
minimum1_refund_age,0.16439120835454404
delta_from_minimum_recentcore_amount_mad,0.16378690354970818
minimum2_gap2,0.16261622127930248
delta_from_minimum_phase_strength90,0.1623165457257756
delta_from_minimum_regular_amount,0.16040495227859453
own_recentcore_phase_strength14,0.16007733241440772
own_linear_error3,0.15990860183580696
delta_from_minimum_recentcore_overdue_gap_mean,0.15977284621997034
maximum_recentcore_amount_mad,0.15813079080268178
delta_from_minimum_age,0.15794324325003195
delta_from_minimum_recentcore_gap_error60,0.1564385033247641
delta_from_minimum_phase_due7,0.15430317015371853
own_core_n270,0.15038295438662283
minimum2_span,0.1494823336593404
own_gap2,0.14918024687513376
competitor0_amount_cv,0.1489622217416323
rank_recentcore_due_gap_recent,0.14624502877532702
delta_from_minimum_recentcore_gap_recent,0.14588044079202786
own_core_gap_std,0.14475794456872593
own_phase_due60,0.1441011756667508
delta_from_minimum_recentcore_phase_strength90,0.14235515753949785
maximum_amount_delta,0.1418526150341515
delta_from_minimum_recentcore_phase_due30,0.1418184954537514
rank_recentcore_gap3,0.14003936393414881
delta_from_minimum_core_active_n_2.0,0.13999546322581055
minimum2_core_age5,0.13957479811408013
own_regular_amount,0.1384655837891864
own_core_phase_due7,0.13830247539738588
maximum_recentcore_age4,0.13755184514208124
own_gap_error60,0.13653713076447133
delta_from_minimum_recentcore_gap_last,0.13638828632726335
own_core_cadence_missing_fraction,0.13345010250267586
own_active_n_2.0,0.1331333690177093
minimum2_phase_strength60,0.13196041377223228
delta_from_minimum_recentcore_phase_strength14,0.13182311565386262
delta_from_minimum_recentcore_due_gap_med,0.13117407443592088
rank_mcc_7997,0.1302097423174715
minimum1_recentcore_regular_amount,0.13002918649066778
delta_from_minimum_gap4,0.12930981891823942
delta_from_minimum_core_active_due_1.2,0.1254503620265564
delta_from_minimum_core_fraction,0.12531804592115875
own_core_linear_period3,0.12493694018482182
maximum_core_active_n_1.5,0.12487221082029659
maximum_core_amount_cv,0.12386269821319046
own_phase_due7,0.12125507605922493
own_last_due7,0.12058045832882062
own_vague_fraction,0.12038441055736207
own_amount_mad,0.11909739155336961
own_core_phase_due90,0.11901565153210691
minimum2_recentcore_phase_due365,0.11807390095106723
rank_recentcore_cadence_last_due,0.11751509706804852
own_active_due_1.2,0.11472864522026102
maximum_core_active_n_1.2,0.11454746438028178
rank_core_gap2,0.11448914115346014
own_recentcore_age2,0.11414082954137743
own_recentcore_active_due_1.2,0.1137865249156175
own_amount_last_delta,0.11145710130814762
delta_from_minimum_core_phase_due365,0.11120292774815149
maximum_recentcore_linear_due8,0.10953701827826809
maximum_recentcore_phase_strength60,0.10878249237047699
maximum_age5,0.10745931513103427
delta_from_minimum_core_amount_mad,0.10697564086784936
own_recentcore_phase_strength60,0.10686319525065366
own_recentcore_last_due365,0.1064809323845077
maximum_phase_due7,0.10631859708583104
minimum2_core_active_n_1.2,0.10624694368410036
maximum_core_n270,0.10471725005015284
own_recentcore_phase_strength30,0.1046774746247301
rank_recentcore_linear_due3,0.10365944568232827
maximum_core_active_n_2.0,0.10302677625680015
minimum2_phase_due365,0.1028821754957597
minimum2_recentcore_phase_strength30,0.10211228049831132
delta_from_minimum_recentcore_age5,0.10190898525840282
own_recentcore_n,0.10106367756192336
own_core_phase_strength60,0.10074800187682084
