binary_weight,listwise_weight,leafwise_weight,none_multiplier,seed0_mean_fold_macro_f1,valid_pooled_macro_f1
0.0,1.0,0.0,0.8,0.688823959153239,0.6293572630652019
0.0,1.0,0.0,0.65,0.686510135427375,0.6258079747102523
0.25,0.75,0.0,0.8,0.6854800764362544,0.6286280804044151
0.0,0.75,0.25,0.8,0.6853646234612051,0.6248671154965266
0.0,0.75,0.25,0.65,0.6850912069316223,0.6283725749169187
0.0,1.0,0.0,1.0,0.6850159978400586,0.6167416369823079
0.5,0.5,0.0,0.8,0.6849477487380301,0.6286859214266577
0.25,0.75,0.0,0.65,0.6848042553960612,0.629239877728166
0.5,0.5,0.0,0.65,0.6841582067798575,0.6318449301179673
0.0,0.75,0.25,1.0,0.6832312114736865,0.6186908902244259
0.75,0.25,0.0,0.8,0.683193844021516,0.6314974796962303
0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6831786767054483,0.6267299111643381
0.75,0.0,0.25,0.8,0.6829205721061559,0.6376980314245047
0.25,0.75,0.0,1.0,0.6829150510286205,0.6184740756271716
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.682392374949566,0.6319225097401947
1.0,0.0,0.0,0.8,0.6823841973397391,0.639264238260951
0.5,0.5,0.0,1.0,0.68221824329021,0.616563830508531
0.25,0.5,0.25,0.8,0.682123789890487,0.6241959285309346
0.25,0.5,0.25,0.65,0.6819836149874854,0.6298572461993706
0.75,0.25,0.0,1.0,0.6816394799086155,0.6207417330573886
0.25,0.5,0.25,1.0,0.6811857998354421,0.6209746802622962
0.0,0.5,0.5,1.0,0.6811461789305683,0.6258484773410065
0.75,0.25,0.0,0.65,0.6811128905274362,0.6310432507113282
0.0,0.5,0.5,0.8,0.6807808888087175,0.6287183612666277
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.65,0.6807544424429667,0.6332294747657823
0.5,0.0,0.5,1.0,0.6804707525542488,0.6274916322158689
1.0,0.0,0.0,0.65,0.6800335507809208,0.6350464273845964
0.0,0.5,0.5,0.65,0.6797791914671274,0.6298307804302281
0.5,0.0,0.5,0.8,0.6792082282601589,0.6313480938109283
0.75,0.0,0.25,0.65,0.6790425116480329,0.6359043208835442
1.0,0.0,0.0,1.0,0.6790383225995303,0.6248564472021483
0.75,0.0,0.25,1.0,0.67834580124286,0.6209805255017986
0.5,0.0,0.5,0.65,0.6776941488033534,0.6346941856841697
0.0,0.0,1.0,0.8,0.6734145518157998,0.6210113180831851
0.0,0.0,1.0,1.0,0.6721326044986463,0.6153630964917315
0.0,0.0,1.0,0.65,0.6709154429319097,0.6180068799776859
