,cloud,gym,insurance,mobile,music,software,streaming
C000001,0.01484229319458656,0.02292674093452955,0.023507437064806947,0.42819728757400316,0.007249282277991223,0.006231923784841047,0.3788729360633531
C000007,0.8507525160928651,0.004722992561851197,0.004753724618967998,0.0049658717021342025,0.0055539357805561755,0.007189144062380743,0.005883699985181411
C000012,0.004717081357666323,0.005534689350160577,0.005720776988582107,0.005745933318808269,0.006478770984627638,0.8942353098778497,0.005702584312485948
C000015,0.009013696928793518,0.009493279446585179,0.6042307087209219,0.009095407903274951,0.009599972432315316,0.009712829237888179,0.011329425627827175
C000016,0.005165710983611365,0.1214224296379628,0.13428349036015574,0.006109204995844808,0.0061202698857830634,0.005398966538684322,0.008513029095116744
C000022,0.006605820468957947,0.007076261233940491,0.007590267946516506,0.007590267946516506,0.008787596328626694,0.7115338879728307,0.18302088809122158
C000025,0.6988667672098481,0.006249490446720458,0.006461844509861965,0.011858576785155707,0.006364483360048051,0.009293901315804574,0.007839908258009995
C000026,0.0039303215606254615,0.6262787811088374,0.29953068824416557,0.14008941718963552,0.006013461266287749,0.08334850919964522,0.0057369245820980295
C000027,0.0032366712606673605,0.068045158639928,0.0033337778024922454,0.14576499008104343,0.731972447385857,0.053994268322146335,0.0034829082513727063
C000028,0.27473132582588305,0.12066075797752501,0.0034524819168290305,0.003445720948895535,0.010164280082145524,0.42282695775450063,0.021348082834872554
C000029,0.09943535167582283,0.009281487977740515,0.004146523729471981,0.04121112936880014,0.15012792511196205,0.06066785634578233,0.04295755007424575
C000033,0.03649436879023235,0.006397799483163416,0.006397799483163416,0.006663915463794677,0.00686766373715077,0.0052623732845110335,0.37371287768514627
C000035,0.010613292631914838,0.06875107757307514,0.010840110971618848,0.04236007331133709,0.012428699254375203,0.013354790164196427,0.012286104824447638
C000039,0.021032332680605184,0.02319050023283342,0.024709241409451164,0.024709241409451164,0.05116273528726481,0.026535941281772175,0.024859454999934923
C000040,0.6912357613019616,0.1847104529559492,0.011881101243203124,0.006580607739845716,0.006893786462076427,0.008011040515781791,0.006493686830478314
